idx,ans,blc,imaginal-activation,visual-activation,stim,response,rt
24400,0.5,2.5,1.5,2.5,RIGHT,0,0.562
24400,0.5,2.5,1.5,2.5,RIGHT,1,0.431
24400,0.5,2.5,1.5,2.5,RIGHT,1,0.31999993
24400,0.5,2.5,1.5,2.5,RIGHT,1,0.30900002
24400,0.5,2.5,1.5,2.5,RIGHT,1,0.3329997
24400,0.5,2.5,1.5,2.5,RIGHT,1,0.32999992
24400,0.5,2.5,1.5,2.5,RIGHT,1,0.32800007
24400,0.5,2.5,1.5,2.5,RIGHT,1,0.36699963
24400,0.5,2.5,1.5,2.5,RIGHT,1,0.46900082
24400,0.5,2.5,1.5,2.5,RIGHT,1,0.3069992
24400,0.5,2.5,1.5,2.5,RIGHT,1,0.47100067
24400,0.5,2.5,1.5,2.5,RIGHT,1,0.4829998
24400,0.5,2.5,1.5,2.5,RIGHT,1,0.33100128
24400,0.5,2.5,1.5,2.5,RIGHT,1,0.34799957
24400,0.5,2.5,1.5,2.5,RIGHT,1,0.34200096
24400,0.5,2.5,1.5,2.5,RIGHT,1,0.29699898
24400,0.5,2.5,1.5,2.5,RIGHT,1,0.35700035
24400,0.5,2.5,1.5,2.5,RIGHT,1,0.3260002
24400,0.5,2.5,1.5,2.5,RIGHT,0,0.4090004
24400,0.5,2.5,1.5,2.5,RIGHT,1,0.4130001
24400,0.5,2.5,1.5,2.5,RIGHT,1,0.34799957
24400,0.5,2.5,1.5,2.5,RIGHT,1,0.32899857
24400,0.5,2.5,1.5,2.5,RIGHT,1,0.5170002
24400,0.5,2.5,1.5,2.5,RIGHT,0,0.42000008
24400,0.5,2.5,1.5,2.5,RIGHT,0,0.31299973
24400,0.5,2.5,1.5,2.5,RIGHT,1,0.40600204
24400,0.5,2.5,1.5,2.5,RIGHT,1,0.31200027
24400,0.5,2.5,1.5,2.5,RIGHT,1,0.42099762
24400,0.5,2.5,1.5,2.5,RIGHT,1,0.29800034
24400,0.5,2.5,1.5,2.5,RIGHT,0,0.538002
24400,0.5,2.5,1.5,2.5,RIGHT,0,0.30999756
24400,0.5,2.5,1.5,2.5,RIGHT,1,0.39900208
24400,0.5,2.5,1.5,2.5,RIGHT,0,0.58200073
24400,0.5,2.5,1.5,2.5,RIGHT,1,0.4109993
24400,0.5,2.5,1.5,2.5,RIGHT,0,0.42099762
24400,0.5,2.5,1.5,2.5,RIGHT,0,0.38100052
24400,0.5,2.5,1.5,2.5,RIGHT,1,0.4239998
24400,0.5,2.5,1.5,2.5,RIGHT,1,0.32099915
24400,0.5,2.5,1.5,2.5,RIGHT,0,0.42700195
24400,0.5,2.5,1.5,2.5,RIGHT,1,0.41199875
24400,0.5,2.5,1.5,2.5,RIGHT,1,0.32699966
24400,0.5,2.5,1.5,2.5,RIGHT,0,0.40999985
24400,0.5,2.5,1.5,2.5,RIGHT,1,0.5340004
24400,0.5,2.5,1.5,2.5,RIGHT,1,0.30400085
24400,0.5,2.5,1.5,2.5,RIGHT,1,0.33200073
24400,0.5,2.5,1.5,2.5,RIGHT,0,0.58599854
24400,0.5,2.5,1.5,2.5,RIGHT,1,0.40499878
24400,0.5,2.5,1.5,2.5,RIGHT,1,0.32400513
24400,0.5,2.5,1.5,2.5,RIGHT,1,0.3239975
24400,0.5,2.5,1.5,2.5,RIGHT,0,0.40399933
24400,0.5,2.5,1.5,2.5,RIGHT,1,0.4889984
24400,0.5,2.5,1.5,2.5,RIGHT,1,0.31500244
24400,0.5,2.5,1.5,2.5,RIGHT,1,0.30999756
24400,0.5,2.5,1.5,2.5,RIGHT,0,0.5450058
24400,0.5,2.5,1.5,2.5,RIGHT,1,0.54499817
24400,0.5,2.5,1.5,2.5,RIGHT,1,0.33200073
24400,0.5,2.5,1.5,2.5,RIGHT,1,0.29799652
24400,0.5,2.5,1.5,2.5,RIGHT,0,0.4430008
24400,0.5,2.5,1.5,2.5,RIGHT,0,0.33999634
24400,0.5,2.5,1.5,2.5,RIGHT,0,0.33700562
24400,0.5,2.5,1.5,2.5,RIGHT,0,0.44599915
24400,0.5,2.5,1.5,2.5,RIGHT,1,0.44799805
24400,0.5,2.5,1.5,2.5,RIGHT,0,0.54499817
24400,0.5,2.5,1.5,2.5,RIGHT,0,0.439003
24400,0.5,2.5,1.5,2.5,RIGHT,1,0.57099915
24400,0.5,2.5,1.5,2.5,RIGHT,1,0.5299988
