idx,ans,blc,imaginal-activation,visual-activation,stim,response,rt
15800,0.4,3.0,4.0,1.5,RIGHT,1,0.55
15800,0.4,3.0,4.0,1.5,RIGHT,1,0.301
15800,0.4,3.0,4.0,1.5,RIGHT,1,0.29900002
15800,0.4,3.0,4.0,1.5,RIGHT,1,0.2989998
15800,0.4,3.0,4.0,1.5,RIGHT,1,0.3000002
15800,0.4,3.0,4.0,1.5,RIGHT,1,0.3080001
15800,0.4,3.0,4.0,1.5,RIGHT,1,0.29799938
15800,0.4,3.0,4.0,1.5,RIGHT,1,0.3050003
15800,0.4,3.0,4.0,1.5,RIGHT,1,0.2989998
15800,0.4,3.0,4.0,1.5,RIGHT,1,0.29800034
15800,0.4,3.0,4.0,1.5,RIGHT,1,0.29699993
15800,0.4,3.0,4.0,1.5,RIGHT,1,0.29800034
15800,0.4,3.0,4.0,1.5,RIGHT,1,0.29699993
15800,0.4,3.0,4.0,1.5,RIGHT,1,0.29599953
15800,0.4,3.0,4.0,1.5,RIGHT,1,0.29599953
15800,0.4,3.0,4.0,1.5,RIGHT,1,0.2990017
15800,0.4,3.0,4.0,1.5,RIGHT,1,0.29599953
15800,0.4,3.0,4.0,1.5,RIGHT,1,0.2989998
15800,0.4,3.0,4.0,1.5,RIGHT,1,0.3010006
15800,0.4,3.0,4.0,1.5,RIGHT,1,0.29799843
15800,0.4,3.0,4.0,1.5,RIGHT,1,0.3010006
15800,0.4,3.0,4.0,1.5,RIGHT,1,0.29999924
15800,0.4,3.0,4.0,1.5,RIGHT,1,0.30200005
15800,0.4,3.0,4.0,1.5,RIGHT,1,0.30200005
15800,0.4,3.0,4.0,1.5,RIGHT,1,0.2990017
15800,0.4,3.0,4.0,1.5,RIGHT,1,0.3010025
15800,0.4,3.0,4.0,1.5,RIGHT,1,0.29800034
15800,0.4,3.0,4.0,1.5,RIGHT,1,0.3009987
15800,0.4,3.0,4.0,1.5,RIGHT,1,0.29700089
15800,0.4,3.0,4.0,1.5,RIGHT,1,0.29800034
15800,0.4,3.0,4.0,1.5,RIGHT,1,0.2989998
15800,0.4,3.0,4.0,1.5,RIGHT,1,0.29999924
15800,0.4,3.0,4.0,1.5,RIGHT,1,0.30400085
15800,0.4,3.0,4.0,1.5,RIGHT,1,0.29599762
15800,0.4,3.0,4.0,1.5,RIGHT,0,0.4050026
15800,0.4,3.0,4.0,1.5,RIGHT,1,0.40399933
15800,0.4,3.0,4.0,1.5,RIGHT,1,0.29699707
15800,0.4,3.0,4.0,1.5,RIGHT,1,0.30000305
15800,0.4,3.0,4.0,1.5,RIGHT,1,0.3029976
15800,0.4,3.0,4.0,1.5,RIGHT,1,0.3010025
15800,0.4,3.0,4.0,1.5,RIGHT,1,0.2989998
15800,0.4,3.0,4.0,1.5,RIGHT,1,0.29699707
