idx,ans,blc,imaginal-activation,visual-activation,stim,response,rt
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.562
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.314
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30700016
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.3080001
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.3119998
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30700016
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30800056
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30999947
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31099987
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30900002
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31100082
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30999947
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31100082
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30799866
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.3050003
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30999947
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30900002
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31000137
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30900002
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31499863
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30900002
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31200027
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30599976
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30800056
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30999947
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31200027
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30999756
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30800247
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.3089981
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31200027
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30799866
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30700302
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31499863
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31000137
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30999756
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31100082
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31000137
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31200027
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.3199997
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30999756
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31000137
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.3089981
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31000137
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31100082
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31399918
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.3160019
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.310997
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31100082
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31100082
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.3199997
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.3089981
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.3100052
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.3129959
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31100464
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30999756
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.3089981
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.314003
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.3129959
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30799866
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30900574
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31199646
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.3050003
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.3120041
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.3069992
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30799866
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31399536
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.3080063
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30999756
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30799866
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.314003
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31199646
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.3089981
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.3100052
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.3089981
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.3089981
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.3100052
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30999756
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31199646
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30900574
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30799866
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.310997
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.3069992
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31100464
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30799866
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30999756
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30999756
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.314003
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.3089981
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.3100052
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.3129959
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31500244
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.3050003
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30999756
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.3089981
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.3069992
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31100464
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.3129959
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.3100052
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30700684
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30999756
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30700684
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30899048
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30599976
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31100464
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30900574
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31498718
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30801392
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30699158
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31500244
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31199646
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30799866
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31199646
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30599976
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30500793
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30900574
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31098938
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31500244
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30700684
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31199646
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31599426
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31100464
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31300354
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31199646
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30900574
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31098938
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30999756
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30801392
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30999756
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30999756
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30999756
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30700684
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31098938
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31100464
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31300354
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30799866
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30299377
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31401062
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31098938
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31500244
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31300354
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30599976
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30899048
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31500244
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31100464
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30999756
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30700684
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30699158
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31201172
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31399536
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31300354
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30699158
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30700684
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31098938
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31401062
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31098938
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30799866
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31001282
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30799866
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31098938
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31001282
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31098938
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31100464
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31100464
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31298828
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31300354
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30999756
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31201172
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30999756
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31199646
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30700684
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.31098938
38000,0.1,3.0,2.0,4.0,RIGHT,1,0.30900574
