idx,ans,blc,imaginal-activation,visual-activation,stim,response,rt
19700,0.3,2.5,2.0,2.0,RIGHT,1,0.573
19700,0.3,2.5,2.0,2.0,RIGHT,1,0.324
19700,0.3,2.5,2.0,2.0,RIGHT,1,0.30999994
19700,0.3,2.5,2.0,2.0,RIGHT,1,0.31800032
19700,0.3,2.5,2.0,2.0,RIGHT,1,0.30999994
19700,0.3,2.5,2.0,2.0,RIGHT,1,0.34000015
19700,0.3,2.5,2.0,2.0,RIGHT,1,0.31099987
19700,0.3,2.5,2.0,2.0,RIGHT,1,0.33399963
19700,0.3,2.5,2.0,2.0,RIGHT,1,0.33300018
19700,0.3,2.5,2.0,2.0,RIGHT,1,0.42700005
19700,0.3,2.5,2.0,2.0,RIGHT,1,0.32900047
19700,0.3,2.5,2.0,2.0,RIGHT,1,0.31299973
19700,0.3,2.5,2.0,2.0,RIGHT,1,0.31399918
19700,0.3,2.5,2.0,2.0,RIGHT,1,0.31000137
19700,0.3,2.5,2.0,2.0,RIGHT,1,0.33199883
19700,0.3,2.5,2.0,2.0,RIGHT,1,0.3050003
19700,0.3,2.5,2.0,2.0,RIGHT,1,0.32999992
19700,0.3,2.5,2.0,2.0,RIGHT,1,0.31699944
19700,0.3,2.5,2.0,2.0,RIGHT,1,0.31200027
19700,0.3,2.5,2.0,2.0,RIGHT,1,0.32999992
19700,0.3,2.5,2.0,2.0,RIGHT,1,0.4260006
19700,0.3,2.5,2.0,2.0,RIGHT,1,0.3199997
19700,0.3,2.5,2.0,2.0,RIGHT,1,0.3239994
19700,0.3,2.5,2.0,2.0,RIGHT,1,0.30200005
19700,0.3,2.5,2.0,2.0,RIGHT,1,0.30599976
19700,0.3,2.5,2.0,2.0,RIGHT,1,0.33200073
19700,0.3,2.5,2.0,2.0,RIGHT,1,0.31599808
19700,0.3,2.5,2.0,2.0,RIGHT,1,0.32300186
19700,0.3,2.5,2.0,2.0,RIGHT,1,0.31599808
19700,0.3,2.5,2.0,2.0,RIGHT,1,0.31299973
