idx,ans,blc,imaginal-activation,visual-activation,stim,response,rt
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.611
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.48899996
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.35100007
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.329
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.40899992
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.35999966
18200,0.3,1.0,2.5,2.0,RIGHT,0,0.6199999
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.5380001
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.35000038
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.3210001
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.4779997
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.40499973
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.42099953
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.38700104
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.3390007
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.36599922
18200,0.3,1.0,2.5,2.0,RIGHT,0,0.4790001
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.47200012
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.40299988
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.4279995
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.47999954
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.37900162
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.37199974
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.36500168
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.3789978
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.36300278
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.33300018
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.5279999
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.41799927
18200,0.3,1.0,2.5,2.0,RIGHT,0,0.5610008
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.47100067
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.4109993
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.375
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.40299988
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.3260002
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.4239998
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.5739975
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.35300064
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.3500023
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.33300018
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.35299683
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.36100006
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.3390007
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.38700104
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.36499786
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.4070015
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.4379959
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.3919983
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.3860016
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.3659973
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.42700195
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.32099915
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.40600586
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.47299957
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.37099457
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.41500092
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.3670044
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.40899658
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.38300323
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.37599945
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.4300003
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.3639984
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.42299652
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.3500061
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.3429947
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.37200165
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.4339981
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.4260025
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.37200165
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.47799683
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.3580017
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.3840027
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.37599945
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.40899658
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.3639984
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.3710022
18200,0.3,1.0,2.5,2.0,RIGHT,1,0.40799713
