idx,ans,blc,imaginal-activation,visual-activation,stim,response,rt
32500,0.1,2.0,2.5,3.5,RIGHT,1,0.572
32500,0.1,2.0,2.5,3.5,RIGHT,1,0.32299995
32500,0.1,2.0,2.5,3.5,RIGHT,1,0.32500005
32500,0.1,2.0,2.5,3.5,RIGHT,1,0.33200026
32500,0.1,2.0,2.5,3.5,RIGHT,1,0.32000017
32500,0.1,2.0,2.5,3.5,RIGHT,1,0.3199997
32500,0.1,2.0,2.5,3.5,RIGHT,1,0.3249998
32500,0.1,2.0,2.5,3.5,RIGHT,1,0.32800007
32500,0.1,2.0,2.5,3.5,RIGHT,1,0.3249998
32500,0.1,2.0,2.5,3.5,RIGHT,1,0.32299995
32500,0.1,2.0,2.5,3.5,RIGHT,1,0.3210001
32500,0.1,2.0,2.5,3.5,RIGHT,1,0.32800007
32500,0.1,2.0,2.5,3.5,RIGHT,1,0.33099937
32500,0.1,2.0,2.5,3.5,RIGHT,1,0.32500076
32500,0.1,2.0,2.5,3.5,RIGHT,1,0.32499886
32500,0.1,2.0,2.5,3.5,RIGHT,1,0.3260002
32500,0.1,2.0,2.5,3.5,RIGHT,1,0.32999992
32500,0.1,2.0,2.5,3.5,RIGHT,1,0.3260002
32500,0.1,2.0,2.5,3.5,RIGHT,1,0.32100105
32500,0.1,2.0,2.5,3.5,RIGHT,1,0.32899857
32500,0.1,2.0,2.5,3.5,RIGHT,1,0.32299995
32500,0.1,2.0,2.5,3.5,RIGHT,1,0.3220005
32500,0.1,2.0,2.5,3.5,RIGHT,1,0.32999992
32500,0.1,2.0,2.5,3.5,RIGHT,1,0.3240013
32500,0.1,2.0,2.5,3.5,RIGHT,1,0.3219986
32500,0.1,2.0,2.5,3.5,RIGHT,1,0.32300186
32500,0.1,2.0,2.5,3.5,RIGHT,1,0.32699966
32500,0.1,2.0,2.5,3.5,RIGHT,1,0.32299805
32500,0.1,2.0,2.5,3.5,RIGHT,1,0.33200073
32500,0.1,2.0,2.5,3.5,RIGHT,1,0.33100128
32500,0.1,2.0,2.5,3.5,RIGHT,1,0.3239975
32500,0.1,2.0,2.5,3.5,RIGHT,1,0.3260002
32500,0.1,2.0,2.5,3.5,RIGHT,1,0.3260002
32500,0.1,2.0,2.5,3.5,RIGHT,1,0.31900024
32500,0.1,2.0,2.5,3.5,RIGHT,1,0.32799911
32500,0.1,2.0,2.5,3.5,RIGHT,1,0.3260002
32500,0.1,2.0,2.5,3.5,RIGHT,1,0.32900238
32500,0.1,2.0,2.5,3.5,RIGHT,1,0.32699966
32500,0.1,2.0,2.5,3.5,RIGHT,1,0.3240013
32500,0.1,2.0,2.5,3.5,RIGHT,1,0.33099747
32500,0.1,2.0,2.5,3.5,RIGHT,1,0.3199997
