idx,ans,blc,imaginal-activation,visual-activation,stim,response,rt
40800,0.4,1.0,2.5,4.5,RIGHT,0,0.611
40800,0.4,1.0,2.5,4.5,RIGHT,1,0.521
40800,0.4,1.0,2.5,4.5,RIGHT,1,0.42000008
40800,0.4,1.0,2.5,4.5,RIGHT,1,0.34599972
40800,0.4,1.0,2.5,4.5,RIGHT,1,0.39500046
40800,0.4,1.0,2.5,4.5,RIGHT,1,0.6369996
40800,0.4,1.0,2.5,4.5,RIGHT,1,0.42099953
40800,0.4,1.0,2.5,4.5,RIGHT,1,0.3369999
40800,0.4,1.0,2.5,4.5,RIGHT,1,0.36900043
40800,0.4,1.0,2.5,4.5,RIGHT,1,0.3590002
40800,0.4,1.0,2.5,4.5,RIGHT,1,0.5099993
40800,0.4,1.0,2.5,4.5,RIGHT,1,0.33700085
40800,0.4,1.0,2.5,4.5,RIGHT,1,0.32699966
40800,0.4,1.0,2.5,4.5,RIGHT,1,0.39699936
40800,0.4,1.0,2.5,4.5,RIGHT,1,0.35900116
40800,0.4,1.0,2.5,4.5,RIGHT,1,0.4089985
40800,0.4,1.0,2.5,4.5,RIGHT,1,0.34200096
40800,0.4,1.0,2.5,4.5,RIGHT,1,0.3959999
40800,0.4,1.0,2.5,4.5,RIGHT,1,0.33499908
40800,0.4,1.0,2.5,4.5,RIGHT,1,0.36700058
40800,0.4,1.0,2.5,4.5,RIGHT,1,0.40200043
40800,0.4,1.0,2.5,4.5,RIGHT,1,0.31599998
40800,0.4,1.0,2.5,4.5,RIGHT,1,0.3540001
40800,0.4,1.0,2.5,4.5,RIGHT,1,0.3390007
40800,0.4,1.0,2.5,4.5,RIGHT,1,0.39500046
40800,0.4,1.0,2.5,4.5,RIGHT,1,0.37599945
40800,0.4,1.0,2.5,4.5,RIGHT,1,0.36300278
40800,0.4,1.0,2.5,4.5,RIGHT,1,0.51399994
40800,0.4,1.0,2.5,4.5,RIGHT,1,0.3199997
40800,0.4,1.0,2.5,4.5,RIGHT,1,0.38499832
40800,0.4,1.0,2.5,4.5,RIGHT,1,0.35700226
40800,0.4,1.0,2.5,4.5,RIGHT,1,0.33499908
40800,0.4,1.0,2.5,4.5,RIGHT,1,0.34799957
40800,0.4,1.0,2.5,4.5,RIGHT,1,0.33100128
40800,0.4,1.0,2.5,4.5,RIGHT,1,0.41699982
40800,0.4,1.0,2.5,4.5,RIGHT,1,0.37299728
40800,0.4,1.0,2.5,4.5,RIGHT,1,0.44400024
40800,0.4,1.0,2.5,4.5,RIGHT,1,0.3390007
40800,0.4,1.0,2.5,4.5,RIGHT,1,0.35900116
40800,0.4,1.0,2.5,4.5,RIGHT,1,0.40499878
40800,0.4,1.0,2.5,4.5,RIGHT,1,0.43799973
40800,0.4,1.0,2.5,4.5,RIGHT,1,0.3880005
40800,0.4,1.0,2.5,4.5,RIGHT,1,0.38299942
